,Company,Product,Total Company response to consumer Complaints
289,Resurgent Capital Services L.P.,Other financial service,0
290,Resurgent Capital Services L.P.,Other financial service,0
291,Resurgent Capital Services L.P.,Other financial service,0
292,Resurgent Capital Services L.P.,Other financial service,0
293,Resurgent Capital Services L.P.,Other financial service,0
294,Resurgent Capital Services L.P.,Other financial service,0
295,Resurgent Capital Services L.P.,Other financial service,0
296,Resurgent Capital Services L.P.,Other financial service,0
297,Resurgent Capital Services L.P.,Payday loan,1
298,Resurgent Capital Services L.P.,Payday loan,0
299,Resurgent Capital Services L.P.,Payday loan,0
300,Resurgent Capital Services L.P.,Payday loan,0
301,Resurgent Capital Services L.P.,Payday loan,0
302,Resurgent Capital Services L.P.,Payday loan,0
303,Resurgent Capital Services L.P.,Payday loan,0
304,Resurgent Capital Services L.P.,Payday loan,0
305,Resurgent Capital Services L.P.,Payday loan,0
306,ERC,Checking or savings account,1
307,ERC,Checking or savings account,0
308,ERC,Checking or savings account,0
309,ERC,Checking or savings account,0
310,ERC,Checking or savings account,0
311,ERC,Checking or savings account,0
312,ERC,Checking or savings account,0
313,ERC,Checking or savings account,0
314,ERC,Checking or savings account,0
315,ERC,Credit card or prepaid card,1
316,ERC,Credit card or prepaid card,0
317,ERC,Credit card or prepaid card,0
318,ERC,Credit card or prepaid card,0
319,ERC,Credit card or prepaid card,0
320,ERC,Credit card or prepaid card,0
321,ERC,Credit card or prepaid card,0
322,ERC,Credit card or prepaid card,0
323,ERC,Credit card or prepaid card,0
324,ERC,"Credit reporting, credit repair services, or other personal consumer reports",1370
325,ERC,"Credit reporting, credit repair services, or other personal consumer reports",0
326,ERC,"Credit reporting, credit repair services, or other personal consumer reports",0
327,ERC,"Credit reporting, credit repair services, or other personal consumer reports",17
328,ERC,"Credit reporting, credit repair services, or other personal consumer reports",0
329,ERC,"Credit reporting, credit repair services, or other personal consumer reports",0
330,ERC,"Credit reporting, credit repair services, or other personal consumer reports",0
331,ERC,"Credit reporting, credit repair services, or other personal consumer reports",0
332,ERC,"Credit reporting, credit repair services, or other personal consumer reports",0
333,ERC,Debt collection,5949
334,ERC,Debt collection,0
335,ERC,Debt collection,1
336,ERC,Debt collection,3030
337,ERC,Debt collection,0
338,ERC,Debt collection,636
339,ERC,Debt collection,0
340,ERC,Debt collection,0
341,ERC,Debt collection,0
342,ERC,"Money transfer, virtual currency, or money service",1
343,ERC,"Money transfer, virtual currency, or money service",0
344,ERC,"Money transfer, virtual currency, or money service",0
345,ERC,"Money transfer, virtual currency, or money service",0
346,ERC,"Money transfer, virtual currency, or money service",0
347,ERC,"Money transfer, virtual currency, or money service",0
348,ERC,"Money transfer, virtual currency, or money service",0
349,ERC,"Money transfer, virtual currency, or money service",0
350,ERC,"Money transfer, virtual currency, or money service",0
351,ERC,Student loan,0
352,ERC,Student loan,0
353,ERC,Student loan,0
354,ERC,Student loan,1
355,ERC,Student loan,0
356,ERC,Student loan,3
357,ERC,Student loan,0
358,ERC,Student loan,0
359,ERC,Student loan,0
360,ERC,Vehicle loan or lease,0
361,ERC,Vehicle loan or lease,0
362,ERC,Vehicle loan or lease,0
363,ERC,Vehicle loan or lease,0
364,ERC,Vehicle loan or lease,0
365,ERC,Vehicle loan or lease,0
366,ERC,Vehicle loan or lease,0
367,ERC,Vehicle loan or lease,0
368,ERC,Vehicle loan or lease,0
369,ERC,Mortgage,0
370,ERC,Mortgage,0
371,ERC,Mortgage,0
372,ERC,Mortgage,1
373,ERC,Mortgage,0
374,ERC,Mortgage,0
375,ERC,Mortgage,0
376,ERC,Mortgage,0
377,ERC,Mortgage,0
378,ERC,"Payday loan, title loan, or personal loan",2
379,ERC,"Payday loan, title loan, or personal loan",0
380,ERC,"Payday loan, title loan, or personal loan",0
381,ERC,"Payday loan, title loan, or personal loan",0
382,ERC,"Payday loan, title loan, or personal loan",0
383,ERC,"Payday loan, title loan, or personal loan",0
384,ERC,"Payday loan, title loan, or personal loan",0
385,ERC,"Payday loan, title loan, or personal loan",0
386,ERC,"Payday loan, title loan, or personal loan",0
387,ERC,Bank account or service,0
388,ERC,Bank account or service,0
389,ERC,Bank account or service,0
390,ERC,Bank account or service,5
391,ERC,Bank account or service,0
392,ERC,Bank account or service,0
393,ERC,Bank account or service,0
394,ERC,Bank account or service,0
395,ERC,Bank account or service,0
396,ERC,Credit card,0
397,ERC,Credit card,0
398,ERC,Credit card,0
399,ERC,Credit card,3
400,ERC,Credit card,0
401,ERC,Credit card,2
402,ERC,Credit card,0
403,ERC,Credit card,0
404,ERC,Credit card,0
405,ERC,Credit reporting,5
406,ERC,Credit reporting,0
407,ERC,Credit reporting,0
408,ERC,Credit reporting,34
409,ERC,Credit reporting,0
410,ERC,Credit reporting,21
411,ERC,Credit reporting,0
412,ERC,Credit reporting,0
413,ERC,Credit reporting,0
414,ERC,Consumer Loan,2
415,ERC,Consumer Loan,0
416,ERC,Consumer Loan,0
417,ERC,Consumer Loan,9
418,ERC,Consumer Loan,0
419,ERC,Consumer Loan,0
420,ERC,Consumer Loan,0
421,ERC,Consumer Loan,0
422,ERC,Consumer Loan,0
423,ERC,Prepaid card,0
424,ERC,Prepaid card,0
425,ERC,Prepaid card,0
426,ERC,Prepaid card,1
427,ERC,Prepaid card,0
428,ERC,Prepaid card,0
429,ERC,Prepaid card,0
430,ERC,Prepaid card,0
431,ERC,Prepaid card,0
432,ERC,Money transfers,0
433,ERC,Money transfers,0
434,ERC,Money transfers,0
435,ERC,Money transfers,0
436,ERC,Money transfers,0
437,ERC,Money transfers,0
438,ERC,Money transfers,0
439,ERC,Money transfers,0
440,ERC,Money transfers,0
441,ERC,Other financial service,0
442,ERC,Other financial service,0
443,ERC,Other financial service,0
444,ERC,Other financial service,0
445,ERC,Other financial service,0
446,ERC,Other financial service,1
447,ERC,Other financial service,0
448,ERC,Other financial service,0
449,ERC,Other financial service,0
450,ERC,Payday loan,0
451,ERC,Payday loan,0
452,ERC,Payday loan,0
453,ERC,Payday loan,2
454,ERC,Payday loan,0
455,ERC,Payday loan,0
456,ERC,Payday loan,0
457,ERC,Payday loan,0
458,ERC,Payday loan,0
459,ALLY FINANCIAL INC.,Checking or savings account,809
460,ALLY FINANCIAL INC.,Checking or savings account,36
461,ALLY FINANCIAL INC.,Checking or savings account,185
462,ALLY FINANCIAL INC.,Checking or savings account,341
463,ALLY FINANCIAL INC.,Checking or savings account,0
464,ALLY FINANCIAL INC.,Checking or savings account,0
